resume_id,job_id,job_title,jaccard_similarity
1,79,RECIEVING IN-CHARGE,0.0
1,80,RELIEVER CASHIER,0.0
1,81,RETAILS STORE SPECIALIST,0.0
1,82,SALES ASSOCIATE,0.0
1,83,SALES CLERK,0.0
1,84,SALES REPRENSETATIVE,0.0
1,85,SALES REPRENSETATIVE,0.0
1,86,SALES REPRESENTATIVE,0.0
1,87,SALES SERVICE DEVELOPER,0.0
1,88,SALES STAFF,0.0
1,89,SALES SUPERVISOR,0.0
1,90,SALES TEAM LEADER,0.0
1,91,SALESMAN,0.0
1,92,SALESMAN,0.0
1,93,SALESMAN,0.0
1,94,SECURITY GUARD,0.0
1,95,SEO COPYWRITER,0.0
1,96,SERVICE CREW,0.0
1,97,SERVICE CREW,0.0
1,98,SPANISH BILINGUAL,0.0
1,99,STOCKMAN,0.0
1,100,STORE CATEGORY ASSISTANT,0.0
1,101,STORE HR COORDINATOR,0.0
1,102,STORE INVENTORY COORDINATOR,0.0
1,103,STORE SUPERVISOR,0.0
1,104,TELESALES REPRESENTATIVE,0.0
1,105,TRADE MARKETING OFFICER,0.0
1,106,TRUCK HELPER,0.0
1,107,UTILIFY STAFF,0.0
1,108,VIETNAMESE BILINGUAL,0.0
1,109,WAREHOUSE INCHARGE,0.0
1,110,WAREHOUSE MAN,0.0
1,111,WAREHOUSE PRODUCTION STAFF,0.0
1,112,WAREHOUSE SECRETARY,0.0
1,113,WAREHOUSE STAFF,0.0
1,114,WELDER,0.0
2,0,ACCOUNTING HEAD,0.0
2,1,ACCOUNTING SUPERVISOR,0.0
2,2,ACCOUNTS SPECIALIST,0.0
2,3,AREA SUPERVISOR,0.0
2,4,AREA SUPERVISOR,0.0
2,5,BAKER,0.0
2,6,BARISTA,0.0
2,7,BARISTA,0.0
2,8,BRANCH SECRETARY,0.0
2,9,CALL CENTER AGENT,0.0
2,10,CASHIER,0.0
2,11,CASHIER,0.0
2,12,CASHIER,0.0
2,13,CHAT SUPPORT AGENT,0.0
2,14,CHECKOUT CHECKER,0.0
2,15,CLAIMS-IN-CHARGE,0.0
2,16,COMPLIANCE OFFICE,0.0
2,17,COMPLIANCE OFFICER,0.0
2,18,COOK,0.0
2,19,CREDIT & COLLECTION STAFF,0.0
2,20,DATA COLLECTION COORDINATOR,0.0
2,21,DELIVERY HELPER,0.0
2,22,DELIVERY RIDER,0.0
2,23,DIGITAL CLIENT SUCCESS MANAGER,0.0
2,24,DOCUMENT SCANNER,0.0
2,25,DRIVER SALESMAN,0.0
2,26,DRIVER,0.0
2,27,ENCODER,0.0
2,28,EXTRUCT SALESMAN,0.0
2,29,FABRICATOR,0.0
2,30,FEMALE OFFICE STAFF,0.0
2,31,FEMALE,0.0
2,32,FIELD SALES SUPERVISOR,0.0
2,33,FIELD STAFF,0.0
2,34,FIELD SUPERVISOR,0.0
2,35,FINANCE STAFF,0.0
2,36,FINISHING CARPENTER,0.0
2,37,FOOD PREPARATION MALE,0.0
2,38,FOOD PREPARATION,0.0
2,39,FOOD SERVER,0.0
2,40,GEODETIC ENGINEER,0.0
2,41,HOTEL HOUSEKEEPING STAF,0.0
2,42,HR COORDINATOR(1),0.0
2,43,HR COORDINATOR,0.0
2,44,HR RECRUITER,0.0
2,45,HR STAFF,0.0
2,46,INVENTORY ANALYST,0.0
2,47,INVENTORY ASSISTANT,0.0
2,48,JAPANESE BILIGUAL,0.0
2,49,JAPANESE BILINGUAL,0.0
2,50,JAPANESE BILINGUAL2,0.0
2,51,JUNIOR MANAGEMENT TRAINEE,0.0
2,52,KITCHEN STAFF,0.0
2,53,LABOR,0.0
2,54,LAUNDRY ATTENDANT,0.0
2,55,MALE SERVICE STAFF,0.0
2,56,MANAGEMENT TRAINEE,0.0
2,57,MANDARIN BILINGUAL,0.0
2,58,MARKETING SPECIALIST,0.0
2,59,MARKETING VIRTUAL ASSISTANT,0.0
2,60,MEDIA SPECIALIST,0.0
2,61,NON-VOICE TUTOR,0.0
2,62,OFFICE STAFF,0.0
2,63,OFFICE STAFF,0.0
2,64,OFFICE STAFF,0.0
2,65,OFFICE STAFF,0.0
2,66,OFFICE STAFF,0.0
2,67,OFFICE STAFF,0.0
2,68,OFFICE STAFF,0.0
2,69,OFFICE STAFF,0.0
2,70,OPERATIONS MANAGER,0.0
2,71,OPERATIONS SUPERVISOR,0.0
2,72,PANEL DRIVER,0.0
2,73,PART-TIME-BARISTA,0.0
2,74,PASSENGER SERVICE AGENT,0.0
2,75,PAYROLL OFFICER,0.0
2,76,PIZZA MAKER,0.0
2,77,PRODUCTION HELPER,0.0
2,78,PROMOTER,0.0
2,79,RECIEVING IN-CHARGE,0.0
2,80,RELIEVER CASHIER,0.0
2,81,RETAILS STORE SPECIALIST,0.0
2,82,SALES ASSOCIATE,0.0
2,83,SALES CLERK,0.0
2,84,SALES REPRENSETATIVE,0.0
2,85,SALES REPRENSETATIVE,0.0
2,86,SALES REPRESENTATIVE,0.0
2,87,SALES SERVICE DEVELOPER,0.0
2,88,SALES STAFF,0.0
2,89,SALES SUPERVISOR,0.0
2,90,SALES TEAM LEADER,0.0
2,91,SALESMAN,0.0
2,92,SALESMAN,0.0
2,93,SALESMAN,0.0
2,94,SECURITY GUARD,0.0
2,95,SEO COPYWRITER,0.0
2,96,SERVICE CREW,0.0
2,97,SERVICE CREW,0.0
2,98,SPANISH BILINGUAL,0.0
2,99,STOCKMAN,0.0
2,100,STORE CATEGORY ASSISTANT,0.0
2,101,STORE HR COORDINATOR,0.0
2,102,STORE INVENTORY COORDINATOR,0.0
2,103,STORE SUPERVISOR,0.0
2,104,TELESALES REPRESENTATIVE,0.0
2,105,TRADE MARKETING OFFICER,0.0
2,106,TRUCK HELPER,0.0
2,107,UTILIFY STAFF,0.0
2,108,VIETNAMESE BILINGUAL,0.0
2,109,WAREHOUSE INCHARGE,0.0
2,110,WAREHOUSE MAN,0.0
2,111,WAREHOUSE PRODUCTION STAFF,0.0
2,112,WAREHOUSE SECRETARY,0.0
2,113,WAREHOUSE STAFF,0.0
2,114,WELDER,0.0
3,0,ACCOUNTING HEAD,0.011904761904761904
3,1,ACCOUNTING SUPERVISOR,0.06666666666666667
3,2,ACCOUNTS SPECIALIST,0.017241379310344827
3,3,AREA SUPERVISOR,0.0
3,4,AREA SUPERVISOR,0.04201680672268908
3,5,BAKER,0.031746031746031744
3,6,BARISTA,0.02142857142857143
3,7,BARISTA,0.021739130434782608
3,8,BRANCH SECRETARY,0.03389830508474576
3,9,CALL CENTER AGENT,0.0
3,10,CASHIER,0.023255813953488372
3,11,CASHIER,0.0
3,12,CASHIER,0.015151515151515152
3,13,CHAT SUPPORT AGENT,0.0
3,14,CHECKOUT CHECKER,0.07317073170731707
3,15,CLAIMS-IN-CHARGE,0.04
3,16,COMPLIANCE OFFICE,0.02127659574468085
3,17,COMPLIANCE OFFICER,0.02127659574468085
3,18,COOK,0.021739130434782608
3,19,CREDIT & COLLECTION STAFF,0.023255813953488372
3,20,DATA COLLECTION COORDINATOR,0.0
3,21,DELIVERY HELPER,0.0
3,22,DELIVERY RIDER,0.021739130434782608
3,23,DIGITAL CLIENT SUCCESS MANAGER,0.0
3,24,DOCUMENT SCANNER,0.0
3,25,DRIVER SALESMAN,0.08
3,26,DRIVER,0.0
3,27,ENCODER,0.017241379310344827
3,28,EXTRUCT SALESMAN,0.046153846153846156
3,29,FABRICATOR,0.041666666666666664
3,30,FEMALE OFFICE STAFF,0.0
3,31,FEMALE,0.0
3,32,FIELD SALES SUPERVISOR,0.047619047619047616
3,33,FIELD STAFF,0.0
3,34,FIELD SUPERVISOR,0.0
3,35,FINANCE STAFF,0.031746031746031744
3,36,FINISHING CARPENTER,0.04
3,37,FOOD PREPARATION MALE,0.0
3,38,FOOD PREPARATION,0.017241379310344827
3,39,FOOD SERVER,0.05128205128205128
3,40,GEODETIC ENGINEER,0.0
3,41,HOTEL HOUSEKEEPING STAF,0.02564102564102564
3,42,HR COORDINATOR(1),0.0975609756097561
3,43,HR COORDINATOR,0.0425531914893617
3,44,HR RECRUITER,0.01639344262295082
3,45,HR STAFF,0.12195121951219512
3,46,INVENTORY ANALYST,0.022727272727272728
3,47,INVENTORY ASSISTANT,0.07317073170731707
3,48,JAPANESE BILIGUAL,0.030927835051546393
3,49,JAPANESE BILINGUAL,0.05405405405405406
3,50,JAPANESE BILINGUAL2,0.05405405405405406
3,51,JUNIOR MANAGEMENT TRAINEE,0.0
3,52,KITCHEN STAFF,0.021739130434782608
3,53,LABOR,0.014705882352941176
3,54,LAUNDRY ATTENDANT,0.0
3,55,MALE SERVICE STAFF,0.0
3,56,MANAGEMENT TRAINEE,0.0
3,57,MANDARIN BILINGUAL,0.030303030303030304
3,58,MARKETING SPECIALIST,0.0
3,59,MARKETING VIRTUAL ASSISTANT,0.0
3,60,MEDIA SPECIALIST,0.0
3,61,NON-VOICE TUTOR,0.0
3,62,OFFICE STAFF,0.0
3,63,OFFICE STAFF,0.0
3,64,OFFICE STAFF,0.0
3,65,OFFICE STAFF,0.047619047619047616
3,66,OFFICE STAFF,0.04054054054054054
3,67,OFFICE STAFF,0.0
3,68,OFFICE STAFF,0.047619047619047616
3,69,OFFICE STAFF,0.014925373134328358
3,70,OPERATIONS MANAGER,0.0625
3,71,OPERATIONS SUPERVISOR,0.06382978723404255
3,72,PANEL DRIVER,0.021739130434782608
3,73,PART-TIME-BARISTA,0.05357142857142857
3,74,PASSENGER SERVICE AGENT,0.0
3,75,PAYROLL OFFICER,0.061224489795918366
3,76,PIZZA MAKER,0.0
3,77,PRODUCTION HELPER,0.04716981132075472
3,78,PROMOTER,0.0
3,79,RECIEVING IN-CHARGE,0.06666666666666667
3,80,RELIEVER CASHIER,0.0
3,81,RETAILS STORE SPECIALIST,0.03508771929824561
3,82,SALES ASSOCIATE,0.0
3,83,SALES CLERK,0.0
3,84,SALES REPRENSETATIVE,0.058823529411764705
3,85,SALES REPRENSETATIVE,0.02564102564102564
3,86,SALES REPRESENTATIVE,0.05357142857142857
3,87,SALES SERVICE DEVELOPER,0.023529411764705882
3,88,SALES STAFF,0.0
3,89,SALES SUPERVISOR,0.05263157894736842
3,90,SALES TEAM LEADER,0.05263157894736842
3,91,SALESMAN,0.0
3,92,SALESMAN,0.06172839506172839
3,93,SALESMAN,0.0
3,94,SECURITY GUARD,0.024691358024691357
3,95,SEO COPYWRITER,0.0
3,96,SERVICE CREW,0.014084507042253521
3,97,SERVICE CREW,0.05172413793103448
3,98,SPANISH BILINGUAL,0.021505376344086023
3,99,STOCKMAN,0.0
3,100,STORE CATEGORY ASSISTANT,0.06521739130434782
3,101,STORE HR COORDINATOR,0.0425531914893617
3,102,STORE INVENTORY COORDINATOR,0.06521739130434782
3,103,STORE SUPERVISOR,0.0410958904109589
3,104,TELESALES REPRESENTATIVE,0.0
3,105,TRADE MARKETING OFFICER,0.04477611940298507
3,106,TRUCK HELPER,0.0
3,107,UTILIFY STAFF,0.013157894736842105
3,108,VIETNAMESE BILINGUAL,0.022222222222222223
3,109,WAREHOUSE INCHARGE,0.02127659574468085
3,110,WAREHOUSE MAN,0.0
3,111,WAREHOUSE PRODUCTION STAFF,0.0
3,112,WAREHOUSE SECRETARY,0.01818181818181818
3,113,WAREHOUSE STAFF,0.06666666666666667
3,114,WELDER,0.041666666666666664
4,0,ACCOUNTING HEAD,0.0
4,1,ACCOUNTING SUPERVISOR,0.0
4,2,ACCOUNTS SPECIALIST,0.0
4,3,AREA SUPERVISOR,0.0
4,4,AREA SUPERVISOR,0.0
4,5,BAKER,0.0
4,6,BARISTA,0.0
4,7,BARISTA,0.0
4,8,BRANCH SECRETARY,0.0
4,9,CALL CENTER AGENT,0.0
4,10,CASHIER,0.0
4,11,CASHIER,0.0
4,12,CASHIER,0.0
4,13,CHAT SUPPORT AGENT,0.0
4,14,CHECKOUT CHECKER,0.0
4,15,CLAIMS-IN-CHARGE,0.0
4,16,COMPLIANCE OFFICE,0.0
4,17,COMPLIANCE OFFICER,0.0
4,18,COOK,0.0
4,19,CREDIT & COLLECTION STAFF,0.0
4,20,DATA COLLECTION COORDINATOR,0.0
4,21,DELIVERY HELPER,0.0
4,22,DELIVERY RIDER,0.0
4,23,DIGITAL CLIENT SUCCESS MANAGER,0.0
4,24,DOCUMENT SCANNER,0.0
4,25,DRIVER SALESMAN,0.0
4,26,DRIVER,0.0
4,27,ENCODER,0.0
4,28,EXTRUCT SALESMAN,0.0
4,29,FABRICATOR,0.0
4,30,FEMALE OFFICE STAFF,0.0
4,31,FEMALE,0.0
4,32,FIELD SALES SUPERVISOR,0.0
4,33,FIELD STAFF,0.0
4,34,FIELD SUPERVISOR,0.0
4,35,FINANCE STAFF,0.0
4,36,FINISHING CARPENTER,0.0
4,37,FOOD PREPARATION MALE,0.0
4,38,FOOD PREPARATION,0.0
4,39,FOOD SERVER,0.0
4,40,GEODETIC ENGINEER,0.0
4,41,HOTEL HOUSEKEEPING STAF,0.0
4,42,HR COORDINATOR(1),0.0
4,43,HR COORDINATOR,0.05
4,44,HR RECRUITER,0.0
4,45,HR STAFF,0.0
4,46,INVENTORY ANALYST,0.0
4,47,INVENTORY ASSISTANT,0.0
4,48,JAPANESE BILIGUAL,0.0
4,49,JAPANESE BILINGUAL,0.0
4,50,JAPANESE BILINGUAL2,0.0
4,51,JUNIOR MANAGEMENT TRAINEE,0.0
4,52,KITCHEN STAFF,0.0
4,53,LABOR,0.0
4,54,LAUNDRY ATTENDANT,0.0
4,55,MALE SERVICE STAFF,0.0
4,56,MANAGEMENT TRAINEE,0.0
4,57,MANDARIN BILINGUAL,0.0
4,58,MARKETING SPECIALIST,0.0
4,59,MARKETING VIRTUAL ASSISTANT,0.0
4,60,MEDIA SPECIALIST,0.0
4,61,NON-VOICE TUTOR,0.0
4,62,OFFICE STAFF,0.0
4,63,OFFICE STAFF,0.0
4,64,OFFICE STAFF,0.0
4,65,OFFICE STAFF,0.0
4,66,OFFICE STAFF,0.0
4,67,OFFICE STAFF,0.0
4,68,OFFICE STAFF,0.0
4,69,OFFICE STAFF,0.0
4,70,OPERATIONS MANAGER,0.0
4,71,OPERATIONS SUPERVISOR,0.0
4,72,PANEL DRIVER,0.0
4,73,PART-TIME-BARISTA,0.0
4,74,PASSENGER SERVICE AGENT,0.0
4,75,PAYROLL OFFICER,0.0
4,76,PIZZA MAKER,0.0
4,77,PRODUCTION HELPER,0.0
4,78,PROMOTER,0.0
4,79,RECIEVING IN-CHARGE,0.0
4,80,RELIEVER CASHIER,0.0
4,81,RETAILS STORE SPECIALIST,0.0
4,82,SALES ASSOCIATE,0.0
4,83,SALES CLERK,0.0
4,84,SALES REPRENSETATIVE,0.0
4,85,SALES REPRENSETATIVE,0.0
4,86,SALES REPRESENTATIVE,0.0
4,87,SALES SERVICE DEVELOPER,0.0
4,88,SALES STAFF,0.0
4,89,SALES SUPERVISOR,0.0
4,90,SALES TEAM LEADER,0.0
4,91,SALESMAN,0.0
4,92,SALESMAN,0.0
4,93,SALESMAN,0.0
4,94,SECURITY GUARD,0.0
4,95,SEO COPYWRITER,0.0
4,96,SERVICE CREW,0.0
4,97,SERVICE CREW,0.0
4,98,SPANISH BILINGUAL,0.0
4,99,STOCKMAN,0.0
4,100,STORE CATEGORY ASSISTANT,0.0
4,101,STORE HR COORDINATOR,0.05
4,102,STORE INVENTORY COORDINATOR,0.0
4,103,STORE SUPERVISOR,0.0
4,104,TELESALES REPRESENTATIVE,0.0
4,105,TRADE MARKETING OFFICER,0.0
4,106,TRUCK HELPER,0.0
4,107,UTILIFY STAFF,0.0
4,108,VIETNAMESE BILINGUAL,0.0
4,109,WAREHOUSE INCHARGE,0.0
4,110,WAREHOUSE MAN,0.0
4,111,WAREHOUSE PRODUCTION STAFF,0.0
4,112,WAREHOUSE SECRETARY,0.0
